subject,body,label
Urgent response needed,Claim your free gift now.,spam
Project deadline,"Just checking in, hope you're doing well.",ham
Win a million dollars now,Click this link to claim your prize.,spam
Lunch with John,Please confirm your availability for tomorrow's meeting.,ham
How are you doing?,Here is the weekly newsletter.,ham
Limited time offer,Get a special discount on our services. Limited time offer.,spam
Project deadline,Reminder for the event this Saturday.,ham
Lunch with John,The project deadline is next week.,ham
"Congratulations, claim your prize","Congratulations, you have won a lottery! Follow the link to claim.",spam
Act now to secure your spot,"Act fast, time is running out!",spam
Act now to secure your spot,Click this link to claim your prize.,spam
Act now to secure your spot,Unlock your full potential with our course.,spam
Free gift inside,Complete this survey and win amazing prizes.,spam
Earn money fast,Unlock your full potential with our course.,spam
Limited time offer,Earn up to $5000 a week from home!,spam
Family reunion next week,"Just checking in, hope you're doing well.",ham
Act now to secure your spot,Get a special discount on our services. Limited time offer.,spam
Your order has been shipped,Your invoice for the last month is attached.,ham
Earn money fast,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Special discount just for you,"Act fast, time is running out!",spam
Special discount just for you,Earn up to $5000 a week from home!,spam
Project deadline,"Just checking in, hope you're doing well.",ham
Family reunion next week,Your invoice for the last month is attached.,ham
You have won a lottery,Win big with our new lottery draw!,spam
Limited time offer,"Buy one, get one free for a limited time only!",spam
Act now to secure your spot,Claim your free gift now.,spam
Meeting tomorrow,The project deadline is next week.,ham
How are you doing?,The project deadline is next week.,ham
Project deadline,Please confirm your availability for tomorrow's meeting.,ham
Weekly newsletter,You're invited to a party this weekend.,ham
Invitation to a party,Your order has been shipped and will arrive soon.,ham
Get rich quickly,"Act fast, time is running out!",spam
Project deadline,Your invoice for the last month is attached.,ham
Your order has been shipped,Your order has been shipped and will arrive soon.,ham
Act now to secure your spot,Complete this survey and win amazing prizes.,spam
Get rich quickly,"Act fast, time is running out!",spam
How are you doing?,The project deadline is next week.,ham
Act now to secure your spot,Earn up to $5000 a week from home!,spam
Meeting tomorrow,Please confirm your availability for tomorrow's meeting.,ham
Family reunion next week,Looking forward to seeing you at the family reunion.,ham
Your order has been shipped,Please confirm your availability for tomorrow's meeting.,ham
Reminder: upcoming event,"Just checking in, hope you're doing well.",ham
Act now to secure your spot,Earn up to $5000 a week from home!,spam
Win a million dollars now,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Special discount just for you,Get a special discount on our services. Limited time offer.,spam
You have won a lottery,Claim your free gift now.,spam
"Congratulations, claim your prize",Complete this survey and win amazing prizes.,spam
Reminder: upcoming event,Your invoice for the last month is attached.,ham
Urgent response needed,Unlock your full potential with our course.,spam
Get rich quickly,Unlock your full potential with our course.,spam
Win a million dollars now,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Family reunion next week,Looking forward to seeing you at the family reunion.,ham
Limited time offer,"Act fast, time is running out!",spam
Weekly newsletter,Your invoice for the last month is attached.,ham
Meeting tomorrow,The project deadline is next week.,ham
Special discount just for you,Click this link to claim your prize.,spam
Win a million dollars now,Earn up to $5000 a week from home!,spam
Lunch with John,Your order has been shipped and will arrive soon.,ham
"Congratulations, claim your prize","Congratulations, you have won a lottery! Follow the link to claim.",spam
Get rich quickly,Earn up to $5000 a week from home!,spam
Your order has been shipped,Please confirm your availability for tomorrow's meeting.,ham
Project deadline,"Just checking in, hope you're doing well.",ham
Free gift inside,"Buy one, get one free for a limited time only!",spam
Reminder: upcoming event,Are you available for lunch tomorrow?,ham
Meeting tomorrow,You're invited to a party this weekend.,ham
Meeting tomorrow,Are you available for lunch tomorrow?,ham
Project deadline,You're invited to a party this weekend.,ham
Your order has been shipped,You're invited to a party this weekend.,ham
Your order has been shipped,You're invited to a party this weekend.,ham
Urgent response needed,Get a special discount on our services. Limited time offer.,spam
Limited time offer,Click this link to claim your prize.,spam
Invitation to a party,You're invited to a party this weekend.,ham
Meeting tomorrow,"Just checking in, hope you're doing well.",ham
Win a million dollars now,"Act fast, time is running out!",spam
Win a million dollars now,Win big with our new lottery draw!,spam
Lunch with John,Looking forward to seeing you at the family reunion.,ham
You have won a lottery,Click this link to claim your prize.,spam
Win a million dollars now,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Family reunion next week,Are you available for lunch tomorrow?,ham
Lunch with John,The project deadline is next week.,ham
Limited time offer,Complete this survey and win amazing prizes.,spam
"Congratulations, claim your prize",Claim your free gift now.,spam
